Horário;Radiação Solar;Temperatura do Ar Máxima;Temperatura do Ar Mínima;Umidade do Ar Média;Vento Velocidade;Manutenção;Observação manutenção
01-04-2022 00:00;;18.332;17.848;73.813;3.400;Não;
01-04-2022 01:00;;18.260;17.806;72.573;3.840;Não;
01-04-2022 02:00;;18.049;17.680;71.831;3.734;Não;
01-04-2022 03:00;;18.289;17.680;70.103;3.709;Não;
01-04-2022 04:00;;18.345;17.950;67.895;4.866;Não;
01-04-2022 05:00;;18.091;17.806;68.102;4.260;Não;
01-04-2022 06:00;;18.289;17.848;67.672;4.486;Não;
01-04-2022 07:00;;18.388;18.147;67.672;4.644;Não;
01-04-2022 08:00;;18.657;18.289;69.856;4.583;Não;
01-04-2022 09:00;;19.181;18.569;70.522;4.649;Não;
01-04-2022 10:00;;19.507;19.082;70.578;5.785;Não;
01-04-2022 11:00;;20.468;19.464;70.666;6.006;Não;
01-04-2022 12:00;;20.639;20.228;70.580;6.023;Não;
01-04-2022 13:00;;20.698;20.399;72.560;4.217;Não;
01-04-2022 14:00;;21.136;20.655;73.635;3.510;Não;
01-04-2022 15:00;;21.007;20.540;74.066;3.496;Não;
01-04-2022 16:00;;20.767;20.468;75.703;2.998;Não;
01-04-2022 17:00;;20.583;17.285;88.803;3.344;Não;
01-04-2022 18:00;;17.891;17.229;95.435;2.332;Não;
01-04-2022 19:00;;17.736;17.229;93.145;2.726;Não;
01-04-2022 20:00;;17.328;16.943;93.618;4.063;Não;
01-04-2022 21:00;;17.862;17.029;92.297;4.217;Não;
01-04-2022 22:00;;18.714;17.792;87.151;1.979;Não;
01-04-2022 23:00;;18.500;17.806;87.332;1.099;Não;
02-04-2022 00:00;;18.487;17.806;85.886;1.748;Não;
02-04-2022 01:00;;17.835;17.410;90.786;3.348;Não;
02-04-2022 02:00;;17.822;17.298;92.797;2.652;Não;
02-04-2022 03:00;;17.835;17.469;93.340;1.663;Não;
02-04-2022 04:00;;17.779;17.453;94.407;1.984;Não;
02-04-2022 05:00;;18.006;17.608;93.435;1.301;Não;
02-04-2022 06:00;;17.835;17.565;96.254;0.469;Não;
02-04-2022 07:00;;18.529;17.723;92.116;2.189;Não;
02-04-2022 08:00;;19.053;18.374;89.446;2.676;Não;
02-04-2022 09:00;;19.122;18.786;90.350;3.427;Não;
02-04-2022 10:00;;19.536;18.601;95.316;2.137;Não;
02-04-2022 11:00;;19.437;18.714;98.288;2.554;Não;
02-04-2022 12:00;;20.569;19.309;97.521;1.611;Não;
02-04-2022 13:00;;21.306;20.441;92.747;3.216;Não;
02-04-2022 14:00;;21.985;21.234;89.029;2.879;Não;
02-04-2022 15:00;;22.086;21.007;88.773;1.923;Não;
02-04-2022 16:00;;22.041;21.192;88.580;2.561;Não;
02-04-2022 17:00;;22.412;21.774;87.376;2.637;Não;
02-04-2022 18:00;;22.172;21.445;86.899;1.408;Não;
02-04-2022 19:00;;22.172;21.419;85.113;0.000;Não;
02-04-2022 20:00;;21.405;20.511;90.122;0.045;Não;
02-04-2022 21:00;;20.682;20.017;93.449;0.000;Não;
02-04-2022 22:00;;20.412;19.747;95.585;0.000;Não;
02-04-2022 23:00;;20.046;19.718;97.517;0.000;Não;
03-04-2022 00:00;;20.046;19.549;98.068;0.000;Não;
03-04-2022 01:00;;19.747;19.563;98.322;0.000;Não;
03-04-2022 02:00;;19.902;19.605;98.713;0.000;Não;
03-04-2022 03:00;;19.675;19.277;98.758;0.000;Não;
03-04-2022 04:00;;19.888;19.493;98.904;0.304;Não;
03-04-2022 05:00;;19.859;19.576;99.102;0.000;Não;
03-04-2022 06:00;;19.774;19.563;99.832;0.588;Não;
03-04-2022 07:00;;19.731;19.464;100.000;0.255;Não;
03-04-2022 08:00;;20.129;19.493;100.000;0.964;Não;
03-04-2022 09:00;;20.668;20.089;99.850;1.616;Não;
03-04-2022 10:00;;21.136;20.599;98.419;1.024;Não;
03-04-2022 11:00;;22.257;20.965;96.067;0.963;Não;
03-04-2022 12:00;;22.612;21.843;94.691;1.058;Não;
03-04-2022 13:00;;22.935;21.915;94.034;1.428;Não;
03-04-2022 14:00;;23.093;21.774;97.099;1.157;Não;
03-04-2022 15:00;;23.830;22.668;92.537;1.506;Não;
03-04-2022 16:00;;23.955;22.596;92.664;0.695;Não;
03-04-2022 17:00;;24.439;23.688;89.940;2.337;Não;
03-04-2022 18:00;;23.731;23.248;91.427;1.937;Não;
03-04-2022 19:00;;23.290;22.172;95.838;1.605;Não;
03-04-2022 20:00;;22.228;21.929;99.045;0.299;Não;
03-04-2022 21:00;;22.086;21.929;99.917;0.273;Não;
03-04-2022 22:00;;22.041;21.929;100.000;0.492;Não;
03-04-2022 23:00;;22.158;21.971;100.000;0.968;Não;
04-04-2022 00:00;;22.340;22.057;100.000;0.266;Não;
04-04-2022 01:00;;23.021;22.284;97.912;1.324;Não;
04-04-2022 02:00;;23.248;22.893;96.766;1.824;Não;
04-04-2022 03:00;;23.501;23.178;96.615;2.704;Não;
04-04-2022 04:00;;23.702;23.347;95.540;3.513;Não;
04-04-2022 05:00;;23.659;22.551;97.577;3.949;Não;
04-04-2022 06:00;;22.596;22.270;99.980;2.622;Não;
04-04-2022 07:00;;22.524;22.284;99.990;0.615;Não;
04-04-2022 08:00;;22.425;22.297;100.000;0.000;Não;
04-04-2022 09:00;;22.922;22.369;99.974;0.799;Não;
04-04-2022 10:00;;23.886;22.906;97.769;1.607;Não;
04-04-2022 11:00;;24.409;23.886;93.600;1.140;Não;
04-04-2022 12:00;;24.765;24.327;91.366;1.921;Não;
04-04-2022 13:00;;25.005;24.481;90.526;2.537;Não;
04-04-2022 14:00;;25.646;24.935;88.367;3.526;Não;
04-04-2022 15:00;;25.630;24.652;88.936;2.860;Não;
04-04-2022 16:00;;24.695;24.156;94.788;0.659;Não;
04-04-2022 17:00;;24.495;23.715;92.720;1.949;Não;
04-04-2022 18:00;;24.228;23.501;91.022;1.691;Não;
04-04-2022 19:00;;23.576;23.221;91.108;1.929;Não;
04-04-2022 20:00;;23.389;23.106;88.031;1.406;Não;
04-04-2022 21:00;;23.149;22.682;85.398;1.899;Não;
04-04-2022 22:00;;22.837;21.816;89.208;2.283;Não;
04-04-2022 23:00;;22.057;21.504;91.942;1.561;Não;
05-04-2022 00:00;;21.531;20.738;93.118;0.192;Não;
05-04-2022 01:00;;20.879;19.747;95.304;0.124;Não;
05-04-2022 02:00;;21.136;20.158;94.942;0.818;Não;
05-04-2022 03:00;;20.468;19.872;95.247;0.404;Não;
05-04-2022 04:00;;20.003;18.401;96.440;0.000;Não;
05-04-2022 05:00;;19.915;18.289;98.962;0.720;Não;
05-04-2022 06:00;;20.017;19.507;98.116;1.020;Não;
05-04-2022 07:00;;20.682;19.816;96.121;1.798;Não;
05-04-2022 08:00;;20.468;19.747;97.966;1.502;Não;
05-04-2022 09:00;;21.873;19.760;97.436;1.505;Não;
05-04-2022 10:00;;24.073;21.830;89.725;1.880;Não;
05-04-2022 11:00;;24.738;23.136;85.409;2.753;Não;
05-04-2022 12:00;;25.843;24.228;81.946;2.553;Não;
05-04-2022 13:00;;26.025;25.149;80.594;2.493;Não;
05-04-2022 14:00;;26.212;25.218;79.674;3.141;Não;
05-04-2022 15:00;;26.495;25.515;78.437;3.460;Não;
05-04-2022 16:00;;26.268;24.481;81.059;3.234;Não;
05-04-2022 17:00;;24.695;23.873;82.849;2.938;Não;
05-04-2022 18:00;;23.886;22.978;87.325;3.556;Não;
05-04-2022 19:00;;23.005;22.468;90.466;3.599;Não;
05-04-2022 20:00;;22.639;22.340;88.697;2.340;Não;
05-04-2022 21:00;;22.711;22.495;86.717;1.495;Não;
05-04-2022 22:00;;22.596;22.214;88.359;2.122;Não;
05-04-2022 23:00;;22.570;22.086;89.666;2.059;Não;
06-04-2022 00:00;;22.129;21.589;91.986;1.294;Não;
06-04-2022 01:00;;21.843;21.606;93.005;1.679;Não;
06-04-2022 02:00;;21.971;21.376;91.170;0.654;Não;
06-04-2022 03:00;;21.419;20.738;95.584;0.000;Não;
06-04-2022 04:00;;20.810;20.524;97.823;0.000;Não;
06-04-2022 05:00;;20.823;20.524;98.657;0.074;Não;
06-04-2022 06:00;;20.866;20.524;98.891;0.000;Não;
06-04-2022 07:00;;20.599;20.172;99.333;0.000;Não;
06-04-2022 08:00;;20.724;20.145;99.882;0.000;Não;
06-04-2022 09:00;;21.488;20.711;99.687;0.191;Não;
06-04-2022 10:00;;23.277;21.461;91.061;0.601;Não;
06-04-2022 11:00;;24.495;23.248;86.502;0.785;Não;
06-04-2022 12:00;;24.495;23.632;83.649;1.486;Não;
06-04-2022 13:00;;24.367;23.744;83.659;1.815;Não;
06-04-2022 14:00;;24.551;23.942;83.813;1.170;Não;
06-04-2022 15:00;;25.913;24.073;81.515;1.752;Não;
06-04-2022 16:00;;25.459;23.774;84.949;2.596;Não;
06-04-2022 17:00;;23.787;23.192;88.188;2.744;Não;
06-04-2022 18:00;;23.603;23.034;88.886;2.268;Não;
06-04-2022 19:00;;23.080;22.369;90.462;1.835;Não;
06-04-2022 20:00;;22.412;22.086;91.390;1.206;Não;
06-04-2022 21:00;;22.214;21.873;92.014;0.856;Não;
06-04-2022 22:00;;21.915;21.704;93.363;0.678;Não;
06-04-2022 23:00;;21.886;21.718;93.293;0.195;Não;
07-04-2022 00:00;;21.803;21.306;94.770;0.000;Não;
07-04-2022 01:00;;21.376;21.109;96.395;0.000;Não;
07-04-2022 02:00;;21.178;20.738;97.503;0.000;Não;
07-04-2022 03:00;;21.050;20.326;97.881;0.000;Não;
07-04-2022 04:00;;20.612;19.974;98.480;0.000;Não;
07-04-2022 05:00;;20.059;19.296;99.370;0.000;Não;
07-04-2022 06:00;;19.872;19.378;99.988;0.000;Não;
07-04-2022 07:00;;20.003;19.421;100.000;0.000;Não;
07-04-2022 08:00;;20.810;19.974;100.000;0.000;Não;
07-04-2022 09:00;;21.573;20.780;100.000;0.000;Não;
07-04-2022 10:00;;23.603;21.517;95.709;1.039;Não;
07-04-2022 11:00;;24.949;23.603;84.955;1.654;Não;
07-04-2022 12:00;;25.926;24.639;80.293;2.215;Não;
07-04-2022 13:00;;25.558;24.508;83.257;2.188;Não;
07-04-2022 14:00;;26.100;24.893;82.547;3.881;Não;
07-04-2022 15:00;;25.472;24.781;83.275;3.675;Não;
07-04-2022 16:00;;25.077;24.567;83.786;2.611;Não;
07-04-2022 17:00;;24.919;24.241;83.951;2.253;Não;
07-04-2022 18:00;;24.623;23.646;85.144;1.818;Não;
07-04-2022 19:00;;23.886;23.122;86.477;0.941;Não;
07-04-2022 20:00;;23.122;22.383;91.211;0.093;Não;
07-04-2022 21:00;;23.093;22.570;88.358;1.088;Não;
07-04-2022 22:00;;22.935;22.537;88.638;1.094;Não;
07-04-2022 23:00;;22.906;21.929;89.647;1.081;Não;
08-04-2022 00:00;;23.066;22.794;87.915;2.298;Não;
08-04-2022 01:00;;22.991;22.823;87.842;2.017;Não;
08-04-2022 02:00;;22.949;22.626;88.932;1.921;Não;
08-04-2022 03:00;;22.837;22.570;89.714;2.298;Não;
08-04-2022 04:00;;22.751;22.270;89.674;1.813;Não;
08-04-2022 05:00;;22.452;22.228;89.915;1.785;Não;
08-04-2022 06:00;;22.511;22.158;89.194;1.522;Não;
08-04-2022 07:00;;22.468;21.063;92.496;0.063;Não;
08-04-2022 08:00;;21.333;20.879;96.716;0.000;Não;
08-04-2022 09:00;;22.626;21.250;95.806;0.000;Não;
08-04-2022 10:00;;23.659;22.425;89.657;0.085;Não;
08-04-2022 11:00;;24.156;23.459;85.847;1.346;Não;
08-04-2022 12:00;;23.985;23.675;85.630;1.267;Não;
08-04-2022 13:00;;24.011;23.445;87.153;1.772;Não;
08-04-2022 14:00;;23.971;23.277;83.882;2.021;Não;
08-04-2022 15:00;;23.517;22.724;88.277;1.370;Não;
08-04-2022 16:00;;22.850;21.704;93.500;0.428;Não;
08-04-2022 17:00;;22.100;21.619;94.853;0.000;Não;
08-04-2022 18:00;;22.073;21.531;94.535;0.000;Não;
08-04-2022 19:00;;21.632;21.192;94.416;0.069;Não;
08-04-2022 20:00;;21.290;20.879;95.819;0.092;Não;
08-04-2022 21:00;;21.178;20.823;96.462;0.000;Não;
08-04-2022 22:00;;21.007;20.668;95.866;0.209;Não;
08-04-2022 23:00;;21.208;20.682;95.527;0.136;Não;
09-04-2022 00:00;;21.165;20.994;95.031;0.164;Não;
09-04-2022 01:00;;21.445;21.109;93.851;1.679;Não;
09-04-2022 02:00;;21.405;21.165;93.634;0.826;Não;
09-04-2022 03:00;;21.320;21.007;94.280;1.527;Não;
09-04-2022 04:00;;21.475;21.079;94.225;1.349;Não;
09-04-2022 05:00;;21.646;21.432;93.216;1.502;Não;
09-04-2022 06:00;;21.589;21.208;93.923;1.380;Não;
09-04-2022 07:00;;21.234;20.214;95.764;0.000;Não;
09-04-2022 08:00;;20.511;19.675;98.632;0.000;Não;
09-04-2022 09:00;;22.214;20.524;98.546;0.679;Não;
09-04-2022 10:00;;23.814;21.971;92.829;1.947;Não;
09-04-2022 11:00;;26.126;23.801;83.660;1.280;Não;
09-04-2022 12:00;;26.722;25.445;81.281;2.115;Não;
09-04-2022 13:00;;26.652;25.061;80.780;3.506;Não;
09-04-2022 14:00;;27.120;25.969;79.983;3.282;Não;
09-04-2022 15:00;;26.751;25.771;79.692;3.198;Não;
09-04-2022 16:00;;27.232;25.162;81.091;3.283;Não;
09-04-2022 17:00;;25.373;24.794;84.781;3.244;Não;
09-04-2022 18:00;;25.218;23.886;87.525;3.181;Não;
09-04-2022 19:00;;23.899;23.619;88.579;2.314;Não;
09-04-2022 20:00;;23.646;23.106;88.458;2.391;Não;
09-04-2022 21:00;;23.261;22.724;89.841;1.391;Não;
09-04-2022 22:00;;22.893;22.668;92.753;1.885;Não;
09-04-2022 23:00;;22.767;21.985;95.503;3.053;Não;
10-04-2022 00:00;;22.313;21.560;96.201;2.667;Não;
10-04-2022 01:00;;21.760;21.488;99.287;1.895;Não;
10-04-2022 02:00;;21.899;21.662;99.638;2.464;Não;
10-04-2022 03:00;;21.760;21.606;98.491;2.251;Não;
10-04-2022 04:00;;22.073;21.606;97.624;2.067;Não;
10-04-2022 05:00;;21.971;21.531;97.461;3.419;Não;
10-04-2022 06:00;;21.915;21.333;96.415;2.416;Não;
